EFORSCDCID,ReportingState,ReportingCounty,FirstIll,LastIll,FirstExposure,LastExposure,Illnesses,Hospitalizations,Deaths,Genus1,Genus2,Genus3,Genus4,Genus5,Genus6,Species1,Species2,Species3,Species4,Species5,Species6,Serotype1,Serotype2,Serotype3,Serotype4,Serotype5,Serotype6,Confirmed1,Confirmed2,Confirmed3,Confirmed4,Confirmed5,Confirmed6,WhereEaten1,WhereEaten2,WhereEaten3,WhereEaten4,WhereEaten5,WhereEaten6,WhereEaten7,CommodityGroup
5278,Florida,Seminole,2002-04-27T00:00:00Z,,2002-04-26T00:00:00Z,2002-04-26T00:00:00Z,6,0,0,,,,,,,,,,,,,,,,,,,0,.,.,.,.,.,Restaurant (unknown type),,,,,,,>1 commodity
5287,New York,Tompkins,2002-04-23T00:00:00Z,,2002-04-23T00:00:00Z,2002-04-25T00:00:00Z,30,,,Calicivirus,,,,,,norovirus,,,,,,,,,,,,0,.,.,.,.,.,Restaurant (unknown type),,,,,,,Unknown
5289,Wisconsin,Winnebago,2002-03-02T00:00:00Z,,2002-03-02T00:00:00Z,2002-03-05T00:00:00Z,11,0,0,Calicivirus,,,,,,norovirus,,,,,,,,,,,,1,.,.,.,.,.,Restaurant (unknown type),,,,,,,>1 commodity
5290,New York,Chemung,2002-05-02T00:00:00Z,,2002-05-01T00:00:00Z,2002-05-05T00:00:00Z,12,,,,,,,,,,,,,,,,,,,,,0,.,.,.,.,.,"Fair, festival, other mobile services",,,,,,,>1 commodity
5291,Georgia,Cobb,2002-06-20T00:00:00Z,,2002-06-20T00:00:00Z,2002-06-20T00:00:00Z,7,3,0,Escherichia,,,,,,"coli, Shiga toxin-producing",,,,,,O157:H7,,,,,,0,.,.,.,.,.,"Workplace, not cafeteria",,,,,,,Leafy
5293,Georgia,Bibb,2002-04-08T00:00:00Z,,2002-04-08T00:00:00Z,,10,,,,,,,,,,,,,,,,,,,,,0,.,.,.,.,.,Other,,,,,,,Unknown
5294,Georgia,Glynn,2002-03-04T00:00:00Z,,,,129,,,,,,,,,,,,,,,,,,,,,0,.,.,.,.,.,School,,,,,,,Unknown
5295,Indiana,Elkhart,2001-02-02T00:00:00Z,,2001-02-01T00:00:00Z,2001-02-01T00:00:00Z,21,,,Calicivirus,,,,,,norovirus,,,,,,,,,,,,0,.,.,.,.,.,Restaurant (unknown type),Private home,,,,,,Leafy
5296,Indiana,Marshall,2001-03-23T00:00:00Z,,2001-03-23T00:00:00Z,2001-03-23T00:00:00Z,26,0,0,Calicivirus,,,,,,norovirus,,,,,,,,,,,,0,.,.,.,.,.,Restaurant (unknown type),,,,,,,Unknown
5298,Oregon,Klamath,2002-02-22T00:00:00Z,,2002-02-21T00:00:00Z,2002-02-21T00:00:00Z,6,0,0,Calicivirus,,,,,,norovirus,,,,,,,,,,,,1,.,.,.,.,.,Restaurant (unknown type),,,,,,,>1 commodity
5299,Indiana,Hamilton,2001-12-01T00:00:00Z,,2001-11-30T00:00:00Z,2001-11-30T00:00:00Z,23,0,0,Calicivirus,,,,,,norovirus,,,,,,,,,,,,1,.,.,.,.,.,Restaurant (unknown type),,,,,,,Leafy
5300,Indiana,Tipton,2001-12-21T00:00:00Z,,2001-12-21T00:00:00Z,2001-12-21T00:00:00Z,21,0,0,Calicivirus,,,,,,norovirus,,,,,,,,,,,,0,.,.,.,.,.,Other,,,,,,,>1 commodity
5301,Indiana,St. Joseph,2001-12-25T00:00:00Z,,2001-12-24T00:00:00Z,2001-12-24T00:00:00Z,13,1,0,Calicivirus,,,,,,norovirus,,,,,,,,,,,,1,.,.,.,.,.,Private home,,,,,,,Leafy
5304,Indiana,Vanderburgh,2002-01-26T00:00:00Z,,2002-01-25T00:00:00Z,2002-01-25T00:00:00Z,22,1,0,Calicivirus,,,,,,norovirus,,,,,,,,,,,,0,.,.,.,.,.,Restaurant (unknown type),,,,,,,>1 commodity
5305,Indiana,Bartholomew,2002-02-10T00:00:00Z,,2002-02-07T00:00:00Z,2002-02-09T00:00:00Z,6,1,0,Shigella,,,,,,dysenteriae,,,,,,serotype 9,,,,,,1,.,.,.,.,.,Restaurant (unknown type),,,,,,,Unknown
5306,Indiana,Monroe,2002-02-24T00:00:00Z,,2002-02-23T00:00:00Z,2002-02-23T00:00:00Z,25,0,0,Calicivirus,,,,,,norovirus,,,,,,,,,,,,1,.,.,.,.,.,Restaurant (unknown type),,,,,,,Leafy
5307,Oregon,Multnomah,2002-03-04T00:00:00Z,,2002-03-04T00:00:00Z,2002-03-04T00:00:00Z,13,0,0,Calicivirus,,,,,,norovirus,,,,,,,,,,,,1,.,.,.,.,.,Restaurant (unknown type),,,,,,,Unknown
5308,Indiana,Marion,2002-04-18T00:00:00Z,,2002-04-18T00:00:00Z,2002-04-18T00:00:00Z,29,0,0,Clostridium,,,,,,perfringens,,,,,,,,,,,,1,.,.,.,.,.,Prison,,,,,,,>1 commodity
5309,Indiana,Ripley,2002-04-30T00:00:00Z,,2002-04-29T00:00:00Z,2002-04-29T00:00:00Z,25,0,0,Calicivirus,,,,,,norovirus,,,,,,,,,,,,0,.,.,.,.,.,Restaurant (unknown type),,,,,,,Dairy
5310,Indiana,,2002-05-18T00:00:00Z,,2002-05-17T00:00:00Z,2002-05-17T00:00:00Z,38,1,0,Calicivirus,,,,,,norovirus,,,,,,,,,,,,0,.,.,.,.,.,Restaurant (unknown type),,,,,,,Leafy
5311,Indiana,Marion,2002-05-13T00:00:00Z,,2002-05-12T00:00:00Z,2002-05-12T00:00:00Z,9,1,0,Calicivirus,,,,,,norovirus,,,,,,,,,,,,1,.,.,.,.,.,Private home,,,,,,,>1 commodity
5313,North Carolina,Chatham,2002-04-08T00:00:00Z,,2002-04-07T00:00:00Z,2002-04-20T00:00:00Z,201,0,0,Calicivirus,,,,,,norovirus,,,,,,,,,,,,1,.,.,.,.,.,Restaurant (unknown type),,,,,,,Unknown
5314,North Carolina,,2002-04-18T00:00:00Z,,2002-04-11T00:00:00Z,2002-04-29T00:00:00Z,239,22,0,Salmonella,,,,,,enterica,,,,,,Heidelberg,,,,,,1,.,.,.,.,.,Restaurant (unknown type),,,,,,,>1 commodity
5315,North Carolina,Franklin,2002-04-28T00:00:00Z,,2002-04-28T00:00:00Z,2002-04-28T00:00:00Z,15,6,0,Staphylococcus,,,,,,aureus,,,,,,,,,,,,1,.,.,.,.,.,Religious location (church/temple),,,,,,,Poultry
5316,North Carolina,Polk,2002-06-12T00:00:00Z,,2002-06-12T00:00:00Z,2002-06-13T00:00:00Z,53,5,0,Staphylococcus,,,,,,aureus,,,,,,,,,,,,1,.,.,.,.,.,School,,,,,,,>1 commodity
5317,Maryland,Wicomico,2002-07-12T00:00:00Z,,2002-07-09T00:00:00Z,2002-07-12T00:00:00Z,11,2,,Salmonella,,,,,,enterica,,,,,,Enteritidis,,,,,,1,.,.,.,.,.,Restaurant (unknown type),,,,,,,Unknown
5322,Oregon,Tillamook,2002-04-14T00:00:00Z,,2002-04-13T00:00:00Z,2002-04-13T00:00:00Z,17,0,0,Calicivirus,,,,,,norovirus,,,,,,,,,,,,1,.,.,.,.,.,Other,,,,,,,Unknown
5323,Illinois,Montgomery,2002-03-06T00:00:00Z,,2002-03-06T00:00:00Z,2002-06-13T00:00:00Z,22,6,0,Salmonella,,,,,,enterica,,,,,,Heidelberg,,,,,,1,.,.,.,.,.,Restaurant (unknown type),,,,,,,Unknown
5324,Illinois,Cook,2002-07-20T00:00:00Z,,2002-07-20T00:00:00Z,2002-07-21T00:00:00Z,24,0,0,Calicivirus,,,,,,norovirus,,,,,,,,,,,,0,.,.,.,.,.,Restaurant (unknown type),,,,,,,Unknown
5325,Oregon,Washington,2002-04-08T00:00:00Z,,2002-04-08T00:00:00Z,2002-04-08T00:00:00Z,6,0,0,,,,,,,,,,,,,,,,,,,0,.,.,.,.,.,Restaurant (unknown type),,,,,,,>1 commodity
5327,Oregon,Jackson,2002-05-27T00:00:00Z,,2002-05-26T00:00:00Z,2002-05-26T00:00:00Z,10,0,0,Calicivirus,,,,,,norovirus,,,,,,,,,,,,1,.,.,.,.,.,Restaurant (unknown type),,,,,,,>1 commodity
5328,Oregon,Marion,2002-06-06T00:00:00Z,,2002-06-05T00:00:00Z,2002-06-07T00:00:00Z,6,0,0,Calicivirus,,,,,,norovirus,,,,,,,,,,,,1,.,.,.,.,.,Restaurant (unknown type),,,,,,,>1 commodity
5329,Vermont,Franklin,2002-04-28T00:00:00Z,,2002-04-28T00:00:00Z,2002-04-28T00:00:00Z,6,0,0,Staphylococcus,,,,,,aureus,,,,,,,,,,,,0,.,.,.,.,.,Other,,,,,,,Unknown
5334,Washington,Walla Walla,2002-05-03T00:00:00Z,,2002-05-02T00:00:00Z,2002-05-02T00:00:00Z,13,0,0,Calicivirus,,,,,,norovirus,,,,,,,,,,,,1,.,.,.,.,.,Other,,,,,,,Unknown
5337,Washington,Clark,2002-06-09T00:00:00Z,,2002-06-08T00:00:00Z,2002-06-08T00:00:00Z,14,0,0,,,,,,,,,,,,,,,,,,,0,.,.,.,.,.,Private home,,,,,,,Unknown
5339,Washington,Snohomish,2002-04-02T00:00:00Z,,2002-04-01T00:00:00Z,2002-04-06T00:00:00Z,219,0,0,Calicivirus,,,,,,norovirus,,,,,,,,,,,,1,.,.,.,.,.,Restaurant (unknown type),,,,,,,Unknown
5340,New York,Onondaga,2001-02-05T00:00:00Z,,2001-02-05T00:00:00Z,2001-02-06T00:00:00Z,18,,,,,,,,,,,,,,,,,,,,,0,.,.,.,.,.,Unknown,,,,,,,>1 commodity
5341,Illinois,McHenry,2002-07-24T00:00:00Z,,2002-07-24T00:00:00Z,2002-07-26T00:00:00Z,15,0,0,Calicivirus,,,,,,norovirus,,,,,,"Genogroup II (GII) , non typeable by GII probes",,,,,,1,.,.,.,.,.,Restaurant (unknown type),,,,,,,Unknown
5344,Washington,King,2002-06-01T00:00:00Z,,2002-05-31T00:00:00Z,2002-05-31T00:00:00Z,7,0,0,,,,,,,,,,,,,,,,,,,0,.,.,.,.,.,Restaurant (unknown type),,,,,,,Unknown
5345,Washington,King,2002-06-02T00:00:00Z,,2002-06-01T00:00:00Z,2002-06-02T00:00:00Z,19,1,0,Salmonella,,,,,,enterica,,,,,,Brandenburg,,,,,,1,.,.,.,.,.,Religious location (church/temple),,,,,,,Unknown
5347,Washington,King,2002-06-26T00:00:00Z,,2002-06-24T00:00:00Z,2002-06-25T00:00:00Z,19,0,0,Calicivirus,,,,,,norovirus,,,,,,,,,,,,0,.,.,.,.,.,Other,,,,,,,>1 commodity
5348,Wisconsin,Marinette,2002-07-07T00:00:00Z,,2002-07-04T00:00:00Z,,14,3,0,Salmonella,,,,,,enterica,,,,,,Typhimurium,,,,,,1,.,.,.,.,.,Restaurant (unknown type),Private home,,,,,,Unknown
5349,Minnesota,Anoka,2002-07-13T00:00:00Z,,2002-07-12T00:00:00Z,2002-07-13T00:00:00Z,6,0,0,Calicivirus,,,,,,norovirus,,,,,,,,,,,,1,.,.,.,.,.,Restaurant (unknown type),,,,,,,>1 commodity
5352,Florida,Palm Beach,2002-07-22T00:00:00Z,,2002-07-22T00:00:00Z,2002-07-22T00:00:00Z,7,0,0,,,,,,,,,,,,,,,,,,,0,.,.,.,.,.,Restaurant (unknown type),,,,,,,Beef
5354,Florida,Palm Beach,2002-07-25T00:00:00Z,,2002-07-25T00:00:00Z,2002-07-26T00:00:00Z,7,1,0,,,,,,,,,,,,,,,,,,,0,.,.,.,.,.,Restaurant (unknown type),,,,,,,Unknown
5356,Texas,Travis,2002-06-05T00:00:00Z,,2002-06-05T00:00:00Z,2002-06-05T00:00:00Z,11,0,0,,,,,,,,,,,,,,,,,,,0,.,.,.,.,.,Other,,,,,,,Unknown
5359,Tennessee,Washington,2002-07-25T00:00:00Z,,2002-07-25T00:00:00Z,2002-07-25T00:00:00Z,6,0,0,Other viral,,,,,,,,,,,,,,,,,,0,.,.,.,.,.,Restaurant (unknown type),,,,,,,Unknown
5360,Tennessee,Davidson,2002-07-26T00:00:00Z,,2002-07-26T00:00:00Z,2002-07-26T00:00:00Z,12,0,0,,,,,,,,,,,,,,,,,,,0,.,.,.,.,.,Restaurant (unknown type),,,,,,,Unknown
5361,Minnesota,Crow Wing,2002-07-18T00:00:00Z,,2002-07-17T00:00:00Z,2002-08-03T00:00:00Z,20,1,0,Salmonella,,,,,,enterica,,,,,,Newport,,,,,,1,.,.,.,.,.,Restaurant (unknown type),,,,,,,Unknown
5362,Wisconsin,Dane,2002-07-20T00:00:00Z,,,,10,0,0,Salmonella,,,,,,enterica,,,,,,Newport,,,,,,1,.,.,.,.,.,Restaurant (unknown type),,,,,,,>1 commodity
5365,Washington DC,,2002-06-26T00:00:00Z,,2002-06-26T00:00:00Z,2002-06-27T00:00:00Z,57,3,0,Salmonella,,,,,,enterica,,,,,,Muenchen,,,,,,1,.,.,.,.,.,Restaurant (unknown type),,,,,,,>1 commodity
5366,New York,Erie,2001-05-07T00:00:00Z,,2001-05-05T00:00:00Z,,9,,,Calicivirus,,,,,,norovirus,,,,,,,,,,,,0,.,.,.,.,.,Private home,,,,,,,Unknown
5367,Florida,Escambia,2002-06-26T00:00:00Z,,,,18,,,Salmonella,Calicivirus,,,,,enterica,norovirus,,,,,Unspecified,"Genogroup II (GII) , non typeable by GII probes",,,,,1,1,.,.,.,.,Restaurant (unknown type),Grocery store,,,,,,>1 commodity
5368,Maryland,Somerset,2002-07-31T00:00:00Z,,2002-07-29T00:00:00Z,2002-08-09T00:00:00Z,11,1,,Calicivirus,,,,,,norovirus,,,,,,GI / Norwalk cluster,,,,,,1,.,.,.,.,.,Picnic,Private home,,,,,,Unknown
5369,Arizona,Maricopa,2002-07-15T00:00:00Z,,2002-07-15T00:00:00Z,2002-07-25T00:00:00Z,45,,,Calicivirus,,,,,,norovirus,,,,,,,,,,,,0,.,.,.,.,.,Other,,,,,,,Unknown
5370,Maryland,Prince George's,2002-08-05T00:00:00Z,,2002-08-04T00:00:00Z,2002-08-04T00:00:00Z,10,2,0,Salmonella,,,,,,enterica,,,,,,Javiana,,,,,,1,.,.,.,.,.,Private home,,,,,,,>1 commodity
5371,Illinois,McHenry,2002-08-04T00:00:00Z,,2002-08-04T00:00:00Z,2002-08-04T00:00:00Z,19,0,0,Clostridium,,,,,,perfringens,,,,,,,,,,,,1,.,.,.,.,.,Private home,,,,,,,Beef
5373,New York,Saratoga,2002-08-10T00:00:00Z,,2002-08-10T00:00:00Z,2002-08-12T00:00:00Z,35,,,Clostridium,,,,,,perfringens,,,,,,,,,,,,1,.,.,.,.,.,Other,,,,,,,Unknown
5376,New York,Saratoga,2001-06-07T00:00:00Z,,2001-06-06T00:00:00Z,,14,,,Calicivirus,,,,,,norovirus,,,,,,,,,,,,1,.,.,.,.,.,Other,,,,,,,Unknown
5382,California,San Francisco,2002-05-22T00:00:00Z,,2002-05-22T00:00:00Z,2002-05-22T00:00:00Z,7,,,Calicivirus,,,,,,norovirus,,,,,,,,,,,,0,.,.,.,.,.,Restaurant (unknown type),,,,,,,Unknown
5383,California,Contra Costa,2002-06-23T00:00:00Z,,2002-06-22T00:00:00Z,2002-06-22T00:00:00Z,11,1,0,Clostridium,,,,,,perfringens,,,,,,,,,,,,1,.,.,.,.,.,Private home,,,,,,,>1 commodity
5385,Florida,Volusia,2002-06-05T00:00:00Z,,2002-06-05T00:00:00Z,2002-06-06T00:00:00Z,34,0,0,Calicivirus,,,,,,norovirus,,,,,,,,,,,,1,.,.,.,.,.,Camp,,,,,,,Unknown
5386,Maryland,Queen Anne's,2002-08-17T00:00:00Z,,2002-08-17T00:00:00Z,2002-08-17T00:00:00Z,7,0,0,,,,,,,,,,,,,,,,,,,0,.,.,.,.,.,Restaurant (unknown type),,,,,,,>1 commodity
5387,California,San Francisco,2002-08-13T00:00:00Z,,2002-08-12T00:00:00Z,2002-08-13T00:00:00Z,9,,,Clostridium,Bacillus,,,,,perfringens,cereus,,,,,,,,,,,0,0,.,.,.,.,Restaurant (unknown type),,,,,,,Unknown
5388,Maryland,Montgomery,2002-08-13T00:00:00Z,,2002-08-12T00:00:00Z,2002-08-16T00:00:00Z,25,3,,Salmonella,,,,,,enterica,,,,,,Newport,,,,,,1,.,.,.,.,.,Restaurant (unknown type),,,,,,,>1 commodity
5390,Washington,Walla Walla,2002-03-11T00:00:00Z,,,,136,1,0,Campylobacter,,,,,,jejuni,,,,,,,,,,,,1,.,.,.,.,.,Prison,,,,,,,Root
5391,Wisconsin,Polk,2002-08-01T00:00:00Z,,2002-07-30T00:00:00Z,2002-07-30T00:00:00Z,22,,0,Campylobacter,,,,,,coli,,,,,,,,,,,,1,.,.,.,.,.,Other,,,,,,,Unknown
5393,Illinois,Cook,2002-08-19T00:00:00Z,,2002-08-18T00:00:00Z,2002-08-18T00:00:00Z,6,0,0,,,,,,,,,,,,,,,,,,,0,.,.,.,.,.,Restaurant (unknown type),,,,,,,Unknown
5395,Illinois,DuPage,2002-08-20T00:00:00Z,,2002-08-18T00:00:00Z,2002-08-18T00:00:00Z,8,,,Calicivirus,,,,,,norovirus,,,,,,,,,,,,0,.,.,.,.,.,Restaurant (unknown type),,,,,,,Unknown
5408,Minnesota,St. Louis,2002-08-25T00:00:00Z,,2002-08-24T00:00:00Z,2002-08-24T00:00:00Z,55,0,0,Calicivirus,,,,,,norovirus,,,,,,,,,,,,1,.,.,.,.,.,Other,,,,,,,>1 commodity
5411,Minnesota,Hennepin,2002-07-24T00:00:00Z,,2002-07-23T00:00:00Z,2002-07-23T00:00:00Z,6,0,0,Calicivirus,,,,,,norovirus,,,,,,,,,,,,0,.,.,.,.,.,Private home,,,,,,,Unknown
5412,Wisconsin,Waukesha,2002-08-12T00:00:00Z,,,,19,11,0,Escherichia,,,,,,"coli, Shiga toxin-producing",,,,,,O157:H7,,,,,,1,.,.,.,.,.,Camp,,,,,,,>1 commodity
5413,Wisconsin,Brown,2002-08-05T00:00:00Z,,2002-08-04T00:00:00Z,2002-08-04T00:00:00Z,29,0,0,Calicivirus,,,,,,norovirus,,,,,,,,,,,,0,.,.,.,.,.,Restaurant (unknown type),,,,,,,Eggs
5415,Florida,Orange,2001-01-29T00:00:00Z,,2001-01-06T00:00:00Z,2001-01-13T00:00:00Z,40,14,1,Hepatitis,,,,,,A,,,,,,,,,,,,1,.,.,.,.,.,Restaurant (unknown type),,,,,,,Unknown
5418,Illinois,DuPage,2002-08-22T00:00:00Z,,2002-08-22T00:00:00Z,2002-08-23T00:00:00Z,13,2,0,Calicivirus,,,,,,norovirus,,,,,,,,,,,,0,.,.,.,.,.,Other,Restaurant (unknown type),,,,,,Unknown
5419,Illinois,McHenry,2002-08-24T00:00:00Z,,2002-08-23T00:00:00Z,2002-08-25T00:00:00Z,10,,,,,,,,,,,,,,,,,,,,,0,.,.,.,.,.,Private home,,,,,,,Unknown
5426,Tennessee,Sullivan,2002-08-19T00:00:00Z,,2002-08-19T00:00:00Z,2002-08-19T00:00:00Z,26,0,0,Calicivirus,,,,,,norovirus,,,,,,Unspecified,,,,,,1,.,.,.,.,.,Religious location (church/temple),,,,,,,Beef
5427,Connecticut,Windham,2002-08-28T00:00:00Z,,2002-08-27T00:00:00Z,2002-08-28T00:00:00Z,14,1,0,Campylobacter,,,,,,jejuni,,,,,,,,,,,,1,.,.,.,.,.,Other,,,,,,,Unknown
5429,Wisconsin,Milwaukee,2002-09-02T00:00:00Z,,2002-08-31T00:00:00Z,2002-08-31T00:00:00Z,16,,0,Salmonella,,,,,,enterica,,,,,,,,,,,,1,.,.,.,.,.,Private home,,,,,,,Poultry
5434,Minnesota,St. Louis,2002-08-26T00:00:00Z,,2002-08-24T00:00:00Z,2002-08-31T00:00:00Z,12,0,0,Calicivirus,,,,,,norovirus,,,,,,,,,,,,1,.,.,.,.,.,Camp,,,,,,,Unknown
5435,Maryland,Prince George's,2002-09-07T00:00:00Z,,2002-09-07T00:00:00Z,2002-09-07T00:00:00Z,26,2,0,,,,,,,,,,,,,,,,,,,0,.,.,.,.,.,Other,,,,,,,>1 commodity
5436,Minnesota,Nicollet,2002-08-27T00:00:00Z,,2002-08-26T00:00:00Z,2002-08-26T00:00:00Z,6,0,0,Calicivirus,,,,,,norovirus,,,,,,,,,,,,1,.,.,.,.,.,Restaurant (unknown type),,,,,,,Unknown
5437,Wisconsin,Dodge,2002-09-07T00:00:00Z,,2002-09-06T00:00:00Z,,6,0,0,Calicivirus,,,,,,norovirus,,,,,,,,,,,,1,.,.,.,.,.,Restaurant (unknown type),,,,,,,Unknown
5442,Maryland,Anne Arundel,2001-06-17T00:00:00Z,,2001-06-17T00:00:00Z,2001-06-18T00:00:00Z,6,,,,,,,,,,,,,,,,,,,,,0,.,.,.,.,.,Restaurant (unknown type),,,,,,,>1 commodity
5446,Maryland,Carroll,2001-01-10T00:00:00Z,,2001-01-10T00:00:00Z,2001-01-10T00:00:00Z,43,0,0,Staphylococcus,,,,,,aureus,,,,,,,,,,,,1,.,.,.,.,.,Prison,,,,,,,>1 commodity
5450,Maryland,Baltimore,2001-05-09T00:00:00Z,,2001-05-08T00:00:00Z,2001-05-09T00:00:00Z,11,0,0,,,,,,,,,,,,,,,,,,,0,.,.,.,.,.,Other,,,,,,,Unknown
5451,Maryland,Baltimore,2001-01-26T00:00:00Z,,2001-01-26T00:00:00Z,2001-01-26T00:00:00Z,9,0,0,Calicivirus,,,,,,norovirus,,,,,,,,,,,,0,.,.,.,.,.,Other,,,,,,,>1 commodity
5452,Maryland,Baltimore,2001-01-06T00:00:00Z,,2001-01-05T00:00:00Z,2001-01-20T00:00:00Z,9,1,0,Salmonella,,,,,,enterica,,,,,,Enteritidis,,,,,,1,.,.,.,.,.,Restaurant (unknown type),,,,,,,>1 commodity
5453,Maryland,Baltimore,2001-05-08T00:00:00Z,,2001-05-08T00:00:00Z,2001-05-08T00:00:00Z,20,0,0,,,,,,,,,,,,,,,,,,,0,.,.,.,.,.,Other,,,,,,,Unknown
5454,Maryland,Frederick,2001-05-13T00:00:00Z,,2001-05-13T00:00:00Z,2001-05-13T00:00:00Z,9,0,0,,,,,,,,,,,,,,,,,,,0,.,.,.,.,.,Restaurant (unknown type),,,,,,,>1 commodity
5458,Maryland,Baltimore,2001-06-02T00:00:00Z,,2001-06-02T00:00:00Z,2001-06-02T00:00:00Z,36,0,0,Calicivirus,,,,,,norovirus,,,,,,Unspecified,,,,,,0,.,.,.,.,.,Restaurant (unknown type),,,,,,,>1 commodity
5461,Maryland,Prince George's,2001-04-15T00:00:00Z,,2001-04-15T00:00:00Z,2001-04-15T00:00:00Z,9,1,0,Salmonella,,,,,,enterica,,,,,,Newport,,,,,,1,.,.,.,.,.,Private home,,,,,,,Poultry
5465,Maryland,Baltimore,2001-06-02T00:00:00Z,,2001-06-01T00:00:00Z,2001-06-01T00:00:00Z,6,0,0,Salmonella,,,,,,enterica,,,,,,Montevideo,,,,,,1,.,.,.,.,.,Day care center,,,,,,,Unknown
5466,Maryland,Baltimore,2001-06-10T00:00:00Z,,2001-06-09T00:00:00Z,2001-06-09T00:00:00Z,26,3,0,Salmonella,,,,,,enterica,,,,,,Enteritidis,,,,,,1,.,.,.,.,.,Private home,,,,,,,>1 commodity
5467,Maryland,Montgomery,2001-07-21T00:00:00Z,,2001-07-20T00:00:00Z,2001-07-20T00:00:00Z,6,0,0,Calicivirus,,,,,,norovirus,,,,,,GI / Norwalk cluster,,,,,,1,.,.,.,.,.,Other,,,,,,,>1 commodity
5470,Maryland,Anne Arundel,2001-02-08T00:00:00Z,,2001-02-08T00:00:00Z,2001-02-08T00:00:00Z,6,0,0,,,,,,,,,,,,,,,,,,,0,.,.,.,.,.,Hospital,,,,,,,>1 commodity
5475,Maryland,Anne Arundel,2001-03-04T00:00:00Z,,2001-03-03T00:00:00Z,2001-03-04T00:00:00Z,8,0,0,Calicivirus,,,,,,norovirus,,,,,,GII / undefined cluster by sequence,,,,,,1,.,.,.,.,.,Restaurant (unknown type),,,,,,,Mollusk
5477,Maryland,St. Mary's,2001-03-14T00:00:00Z,,2001-03-14T00:00:00Z,2001-03-14T00:00:00Z,9,,,,,,,,,,,,,,,,,,,,,0,.,.,.,.,.,Other,,,,,,,Unknown
5480,Maryland,Howard,2001-03-22T00:00:00Z,,2001-03-22T00:00:00Z,2001-03-25T00:00:00Z,13,,,Calicivirus,,,,,,norovirus,,,,,,,,,,,,1,.,.,.,.,.,Restaurant (unknown type),,,,,,,Unknown
5483,Maryland,Montgomery,2001-04-15T00:00:00Z,,,,14,,,Campylobacter,,,,,,jejuni,,,,,,,,,,,,1,.,.,.,.,.,Restaurant (unknown type),,,,,,,Poultry
5490,North Carolina,Forsyth,2002-07-14T00:00:00Z,,2002-07-13T00:00:00Z,2002-07-14T00:00:00Z,11,0,0,Calicivirus,,,,,,norovirus,,,,,,,,,,,,1,.,.,.,.,.,Religious location (church/temple),,,,,,,>1 commodity
5493,New York,Warren,2001-04-28T00:00:00Z,,2001-04-27T00:00:00Z,,13,0,0,,,,,,,,,,,,,,,,,,,0,.,.,.,.,.,Restaurant (unknown type),,,,,,,Dairy
5494,California,San Francisco,2002-08-31T00:00:00Z,,2002-08-30T00:00:00Z,2002-08-30T00:00:00Z,6,,,Calicivirus,,,,,,norovirus,,,,,,,,,,,,0,.,.,.,.,.,Restaurant (unknown type),,,,,,,Unknown
5507,Georgia,Liberty,2002-08-28T00:00:00Z,,2002-08-28T00:00:00Z,2002-08-28T00:00:00Z,49,2,0,Staphylococcus,,,,,,aureus,,,,,,,,,,,,0,.,.,.,.,.,School,,,,,,,>1 commodity
5508,Iowa,Cherokee,2002-08-25T00:00:00Z,,2002-08-25T00:00:00Z,2002-08-25T00:00:00Z,47,7,0,Salmonella,,,,,,enterica,,,,,,Enteritidis,,,,,,1,.,.,.,.,.,Restaurant (unknown type),,,,,,,>1 commodity
5510,Kansas,Saline,2002-08-28T00:00:00Z,,2002-08-27T00:00:00Z,2002-08-27T00:00:00Z,29,0,0,Calicivirus,,,,,,norovirus,,,,,,Unspecified,,,,,,1,.,.,.,.,.,Restaurant (unknown type),,,,,,,Unknown
5514,Florida,Sarasota,2002-07-07T00:00:00Z,,2002-07-06T00:00:00Z,2002-07-11T00:00:00Z,10,,,Calicivirus,,,,,,norovirus,,,,,,"Genogroup II (GII) , non typeable by GII probes",,,,,,1,.,.,.,.,.,Restaurant (unknown type),,,,,,,>1 commodity
5515,Florida,Sarasota,2002-07-15T00:00:00Z,,2002-07-14T00:00:00Z,2002-07-15T00:00:00Z,8,0,0,Calicivirus,,,,,,norovirus,,,,,,"Genogroup II (GII) , non typeable by GII probes",,,,,,1,.,.,.,.,.,Restaurant (unknown type),,,,,,,Leafy
5521,Kansas,Meade,2002-08-06T00:00:00Z,,2002-08-05T00:00:00Z,2002-08-05T00:00:00Z,10,1,0,Salmonella,,,,,,enterica,,,,,,Typhimurium,,,,,,1,.,.,.,.,.,Private home,,,,,,,Eggs
5522,Minnesota,Hennepin,2002-09-30T00:00:00Z,,2002-09-30T00:00:00Z,2002-09-30T00:00:00Z,11,0,0,Bacillus,Clostridium,,,,,cereus,perfringens,,,,,,,,,,,0,0,.,.,.,.,Other,,,,,,,>1 commodity
5529,Connecticut,Litchfield,2002-09-28T00:00:00Z,,2002-09-27T00:00:00Z,2002-09-27T00:00:00Z,8,0,0,Calicivirus,,,,,,norovirus,,,,,,,,,,,,0,.,.,.,.,.,Restaurant (unknown type),,,,,,,Unknown
5530,Tennessee,Hamilton,2002-10-04T00:00:00Z,,2002-10-04T00:00:00Z,2002-10-04T00:00:00Z,77,0,0,Calicivirus,,,,,,norovirus,,,,,,GII / undefined cluster by sequence,,,,,,1,.,.,.,.,.,Restaurant (unknown type),,,,,,,>1 commodity
